2025-12-13 17:15:33.647554 Job submitted! latency-BMode-loop-30-1-5Parallelism 30, windowStep/Slide 1, Approach loop, Steps 5, Frequency 0
 
2025-12-13 17:15:37.431490 Job Status: 200, Vertices: ['INITIALIZING', 'FINISHED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:15:37.484808 Job Status: 200, Vertices: ['INITIALIZING', 'FINISHED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:15:37.528434 Job Status: 200, Vertices: ['INITIALIZING', 'FINISHED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:15:37.571584 Job Status: 200, Vertices: ['INITIALIZING', 'FINISHED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:15:37.615301 Job Status: 200, Vertices: ['INITIALIZING', 'FINISHED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:15:37.656369 Job Status: 200, Vertices: ['INITIALIZING', 'FINISHED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:15:37.698150 Job Status: 200, Vertices: ['INITIALIZING', 'FINISHED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:15:37.739776 Job Status: 200, Vertices: ['INITIALIZING', 'FINISHED', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:15:37.783691 Job Status: 200, Vertices: ['RUNNING', 'FINISHED', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING']

2025-12-13 17:15:37.783706 All vertices are RUNNING or FINISHED. Job is fully started or completed.

