2025-12-13 17:41:47.978795 Job submitted! latency-BMode-loop-30-1-3Parallelism 30, windowStep/Slide 1, Approach loop, Steps 3, Frequency 0
 
2025-12-13 17:41:50.047976 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.103963 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.185766 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.257083 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.306884 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.352360 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.389583 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.427537 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.468761 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.509294 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.551908 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.592060 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.654992 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.707543 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.755873 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.797096 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.837978 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.894435 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.941652 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:50.980025 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:51.020766 Job Status: 200, Vertices: ['INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING']

2025-12-13 17:41:51.067302 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.106365 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.182529 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.222139 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.345156 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.389786 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.428992 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.470427 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.512849 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.553477 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.591924 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.630525 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.668800 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.708581 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.752417 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.795250 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.832145 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.872225 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.911798 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:51.967009 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:52.013705 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:52.052335 Job Status: 200, Vertices: ['RUNNING', 'RUNNING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'INITIALIZING', 'RUNNING']

2025-12-13 17:41:52.104152 Job Status: 200, Vertices: ['RUNNING', 'FINISHED', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING', 'RUNNING']

2025-12-13 17:41:52.104166 All vertices are RUNNING or FINISHED. Job is fully started or completed.

